route_state,route_active,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,turn_centered,turn_center_tolerance_px,turn_center_y_tolerance_px,turn_align_step_cm,turn_align_timeout_sec,move_rpm_command,pre_turn_slowdown_active,next_turn_tag_id,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,28,,,0,0,,,0.000,0.067,1,7.252,2.395,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.885,28,1,1,1,0.067,7.252,0.02266,-0.033,-0.033,327.252,242.395,216.633,0.001,1.884,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,29,,,0,0,,,0.000,0.067,1,7.251,2.420,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.953,29,1,1,1,0.067,7.251,0.02266,-0.019,-0.019,327.251,242.420,216.663,0.001,1.952,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,30,,,0,0,,,0.000,0.067,1,7.267,2.416,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.017,30,1,1,1,0.067,7.267,0.02271,-0.036,-0.036,327.267,242.416,216.675,0.001,2.016,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,31,,,0,0,,,0.000,0.067,1,7.269,2.417,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.085,31,1,1,1,0.067,7.269,0.02271,-0.023,-0.023,327.269,242.417,216.669,0.001,2.084,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,32,,,0,0,,,0.000,0.068,1,7.321,2.497,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.153,32,1,1,1,0.068,7.321,0.02288,-0.010,-0.010,327.321,242.497,216.719,0.001,2.152,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,33,,,0,0,,,0.000,0.067,1,7.287,2.482,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.221,33,1,1,1,0.067,7.287,0.02277,-0.028,-0.028,327.287,242.482,216.730,0.001,2.220,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,34,,,0,0,,,0.000,0.067,1,7.270,2.403,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.289,34,1,1,1,0.067,7.270,0.02272,-0.030,-0.030,327.270,242.403,216.649,0.001,2.288,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,35,,,0,0,,,0.000,0.067,1,7.311,2.479,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.353,35,1,1,1,0.067,7.311,0.02285,-0.012,-0.012,327.311,242.479,216.713,0.001,2.352,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,36,,,0,0,,,0.000,0.067,1,7.265,2.448,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.421,36,1,1,1,0.067,7.265,0.02270,-0.025,-0.025,327.265,242.448,216.687,0.001,2.420,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,37,,,0,0,,,0.000,0.067,1,7.286,2.406,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.489,37,1,1,1,0.067,7.286,0.02277,-0.015,-0.015,327.286,242.406,216.647,0.001,2.488,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,38,,,0,0,,,0.000,0.067,1,7.292,2.401,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.557,38,1,1,1,0.067,7.292,0.02279,-0.027,-0.027,327.292,242.401,216.674,0.001,2.556,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,39,,,0,0,,,0.000,0.067,1,7.290,2.425,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.621,39,1,1,1,0.067,7.290,0.02278,-0.041,-0.041,327.290,242.425,216.685,0.001,2.620,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,40,,,0,0,,,0.000,0.067,1,7.290,2.421,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.689,40,1,1,1,0.067,7.290,0.02278,-0.022,-0.022,327.290,242.421,216.731,0.001,2.688,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,41,,,0,0,,,0.000,0.067,1,7.291,2.390,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.757,41,1,1,1,0.067,7.291,0.02278,-0.036,-0.036,327.291,242.390,216.643,0.001,2.756,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,42,,,0,0,,,0.000,0.067,1,7.286,2.404,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.825,42,1,1,1,0.067,7.286,0.02277,-0.021,-0.021,327.286,242.404,216.654,0.001,2.824,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,43,,,0,0,,,0.000,0.067,1,7.300,2.398,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.893,43,1,1,1,0.067,7.300,0.02281,-0.022,-0.022,327.300,242.398,216.676,0.001,2.892,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,44,,,0,0,,,0.000,0.067,1,7.295,2.493,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,2.957,44,1,1,1,0.067,7.295,0.02280,-0.034,-0.034,327.295,242.493,216.675,0.001,2.956,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,45,,,0,0,,,0.000,0.067,1,7.264,2.401,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.025,45,1,1,1,0.067,7.264,0.02270,-0.026,-0.026,327.264,242.401,216.668,0.001,3.024,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,46,,,0,0,,,0.000,0.068,1,7.361,2.501,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.093,46,1,1,1,0.068,7.361,0.02300,-0.020,-0.020,327.361,242.501,216.735,0.001,3.092,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,47,,,0,0,,,0.000,0.068,1,7.324,2.496,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.161,47,1,1,1,0.068,7.324,0.02289,-0.021,-0.021,327.324,242.496,216.701,0.001,3.160,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,48,,,0,0,,,0.000,0.068,1,7.380,2.483,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.225,48,1,1,1,0.068,7.380,0.02306,-0.007,-0.007,327.380,242.483,216.738,0.001,3.224,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,49,,,0,0,,,0.000,0.068,1,7.329,2.468,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.261,49,1,1,1,0.068,7.329,0.02290,-0.021,-0.021,327.329,242.468,216.705,0.001,3.260,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,50,,,0,0,,,0.000,0.067,1,7.305,2.459,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.329,50,1,1,1,0.067,7.305,0.02283,-0.022,-0.022,327.305,242.459,216.693,0.001,3.328,STOPPED,,EVT:READY,,,,,,EVT:READY
