route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.327,46.584,-1.000,0.020,0.000,,,3.995,60,1,1,3,-0.022,-2.327,-0.00727,0.819,0.819,317.673,286.584,208.811,0.001,3.994,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.333,46.594,-1.000,0.020,0.000,,,4.031,61,1,1,3,-0.022,-2.333,-0.00729,0.826,0.826,317.667,286.594,208.828,0.001,4.030,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.302,46.611,-1.000,0.020,0.000,,,4.231,64,1,1,3,-0.022,-2.302,-0.00720,0.821,0.821,317.698,286.611,208.883,0.001,4.230,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.335,46.612,-1.000,0.020,0.000,,,4.299,65,1,1,3,-0.022,-2.335,-0.00730,0.832,0.832,317.665,286.612,208.827,0.001,4.298,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.334,46.605,-1.000,0.020,0.000,,,4.367,66,1,1,3,-0.022,-2.334,-0.00729,0.840,0.840,317.666,286.605,208.864,0.001,4.366,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.324,46.584,-1.000,0.020,0.000,,,4.499,68,1,1,3,-0.022,-2.324,-0.00726,0.820,0.820,317.676,286.584,208.844,0.001,4.498,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.320,46.615,-1.000,0.020,0.000,,,4.771,72,1,1,3,-0.022,-2.320,-0.00725,0.837,0.837,317.680,286.615,208.866,0.001,4.770,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.304,46.608,-1.000,0.020,0.000,,,4.903,74,1,1,3,-0.022,-2.304,-0.00720,0.820,0.820,317.696,286.608,208.880,0.001,4.902,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.311,46.594,-1.000,0.020,0.000,,,5.103,77,1,1,3,-0.022,-2.311,-0.00722,0.822,0.822,317.689,286.594,208.849,0.001,5.102,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.309,46.602,-1.000,0.020,0.000,,,5.441,82,1,1,3,-0.022,-2.309,-0.00722,0.822,0.822,317.691,286.602,208.857,0.001,5.440,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.307,46.600,-1.000,0.020,0.000,,,5.745,87,1,1,3,-0.022,-2.307,-0.00721,0.828,0.828,317.693,286.600,208.882,0.001,5.744,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.315,46.603,-1.000,0.020,0.000,,,5.813,88,1,1,3,-0.022,-2.315,-0.00723,0.826,0.826,317.685,286.603,208.853,0.001,5.812,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.297,46.600,-1.000,0.020,0.000,,,5.876,89,1,1,3,-0.022,-2.297,-0.00718,0.830,0.830,317.703,286.600,208.872,0.001,5.875,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.311,46.592,-1.000,0.020,0.000,,,6.212,94,1,1,3,-0.022,-2.311,-0.00722,0.829,0.829,317.689,286.592,208.871,0.001,6.211,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.326,46.595,-1.000,0.020,0.000,,,6.280,95,1,1,3,-0.022,-2.326,-0.00727,0.826,0.826,317.674,286.595,208.837,0.001,6.279,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.289,46.593,-1.000,0.020,0.000,,,6.348,96,1,1,3,-0.022,-2.289,-0.00715,0.821,0.821,317.711,286.593,208.875,0.001,6.347,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.325,46.606,-1.000,0.020,0.000,,,6.484,98,1,1,3,-0.022,-2.325,-0.00727,0.835,0.835,317.675,286.606,208.868,0.001,6.483,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.317,46.605,-1.000,0.020,0.000,,,6.616,100,1,1,3,-0.022,-2.317,-0.00724,0.828,0.828,317.683,286.605,208.839,0.001,6.615,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.295,46.590,-1.000,0.020,0.000,,,6.684,101,1,1,3,-0.022,-2.295,-0.00717,0.821,0.821,317.705,286.590,208.849,0.001,6.683,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.323,46.591,-1.000,0.020,0.000,,,6.752,102,1,1,3,-0.022,-2.323,-0.00726,0.820,0.820,317.677,286.591,208.827,0.001,6.751,STOPPED,,EVT:READY,,,,,,EVT:READY
